"employees","random_salaries","salary_adjustment","salary_2018","raise"
"Employee 1",46646.0706992075,1044.49432576075,47690.5650249682,TRUE
"Employee 2",46064.9207537062,6804.93450257927,52869.8552562855,TRUE
"Employee 3",43978.4815534949,9534.9104993511,53513.392052846,TRUE
"Employee 4",43302.9813040048,3312.74252035655,46615.7238243613,TRUE
"Employee 5",48336.4975173026,-3696.9124735333,44639.5850437693,FALSE
"Employee 6",46912.46942617,8848.53176656179,55761.0011927318,TRUE
"Employee 7",46124.7678543441,5754.49857278727,51879.2664271314,TRUE
"Employee 8",45207.6805336401,-1402.30146469548,43805.3790689446,FALSE
"Employee 9",41915.246185381,-4959.60622210987,36955.6399632711,FALSE
"Employee 10",44204.502152279,4215.12557659298,48419.627728872,TRUE
"Employee 11",44803.3269960433,8757.64494296163,53560.971939005,TRUE
"Employee 12",43976.914670784,7075.65170596354,51052.5663767476,TRUE
"Employee 13",48951.1525374837,-3411.47639672272,45539.676140761,FALSE
"Employee 14",47039.4600951113,7376.92896160297,54416.3890567143,TRUE
"Employee 15",49452.6410964318,5373.36162407883,54826.0027205106,TRUE
"Employee 16",42739.9638597853,7076.83546468616,49816.7993244715,TRUE
"Employee 17",49823.3542125672,2958.74227653258,52782.0964890998,TRUE
"Employee 18",42678.4304343164,9992.76063404977,52671.1910683662,TRUE
"Employee 19",48633.1890919246,-3674.95862417854,44958.230467746,FALSE
"Employee 20",41702.0564293489,8924.23112643883,50626.2875557877,TRUE
"Employee 21",40676.5011837706,5853.08006382547,46529.5812475961,TRUE
"Employee 22",49748.5536336899,-331.271163886413,49417.2824698035,FALSE
"Employee 23",49974.0401934832,-2455.18065639772,47518.8595370855,FALSE
"Employee 24",48075.5438166671,-3542.80347586609,44532.740340801,FALSE
"Employee 25",43722.9018448852,9156.65177395567,52879.5536188409,TRUE
"Employee 26",48684.2197552323,-3621.97125679813,45062.2484984342,FALSE
"Employee 27",47899.5851031505,-2286.59361833706,45612.9914848134,FALSE
"Employee 28",44919.9778819457,2596.67907841504,47516.6569603607,TRUE
"Employee 29",42545.9980638698,4213.09535042383,46759.0934142936,TRUE
"Employee 30",49598.1194754131,7785.92779650353,57384.0472719166,TRUE
"Employee 31",40398.0437363498,2737.12233640254,43135.1660727523,TRUE
"Employee 32",47125.5888254382,9379.91254497319,56505.5013704114,TRUE
"Employee 33",48900.3757992759,5789.51450414024,54689.8903034162,TRUE
"Employee 34",48741.9631890953,8285.83422815427,57027.7974172495,TRUE
"Employee 35",42652.9165916145,48.8558632787317,42701.7724548932,TRUE
"Employee 36",42355.3150566295,1668.30628993921,44023.6213465687,TRUE
"Employee 37",44852.4854122661,9866.50055157952,54718.9859638456,TRUE
"Employee 38",41858.4681930952,6775.80805611797,48634.2762492131,TRUE
"Employee 39",42021.9210744835,2054.79810130782,44076.7191757914,TRUE
"Employee 40",41886.1527461559,3516.36256091297,45402.5153070688,TRUE
"Employee 41",41050.0298021361,-1244.13158511743,39805.8982170187,FALSE
"Employee 42",40245.6182148308,7821.11612264998,48066.7343374807,TRUE
"Employee 43",43455.5016364902,3169.51616667211,46625.0178031623,TRUE
"Employee 44",47364.9775586091,4234.9385691341,51599.9161277432,TRUE
"Employee 45",48492.7096357569,-4416.85565747321,44075.8539782837,FALSE
"Employee 46",47319.85374121,7549.18043501675,54869.0341762267,TRUE
"Employee 47",43204.4974085875,2074.46644664742,45278.9638552349,TRUE
"Employee 48",49728.2203333452,8494.63638383895,58222.8567171842,TRUE
"Employee 49",44824.8497513123,-1684.88506460562,43139.9646867067,FALSE
"Employee 50",42272.9461221024,5964.61254521273,48237.5586673152,TRUE
"Employee 51",46806.3477426767,6567.12977099232,53373.4775136691,TRUE
"Employee 52",43940.7993503846,4054.20700204559,47995.0063524302,TRUE
"Employee 53",41237.2246035375,-4483.4754569456,36753.7491465919,FALSE
"Employee 54",46606.6176304594,1188.59891779721,47795.2165482566,TRUE
"Employee 55",44127.6852088049,9260.98843337968,53388.6736421846,TRUE
"Employee 56",45724.2093305103,-890.097310766578,44834.1120197438,FALSE
"Employee 57",40654.0784868412,-2987.37257253379,37666.7059143074,FALSE
"Employee 58",44713.1145745516,-185.956738423556,44527.157836128,FALSE
"Employee 59",45941.1079040729,3185.65396009944,49126.7618641723,TRUE
"Employee 60",42106.1668219045,6192.65837362036,48298.8251955248,TRUE
"Employee 61",42589.2281881534,399.178107036278,42988.4062951896,TRUE
"Employee 62",46878.9568194188,1154.38120556064,48033.3380249795,TRUE
"Employee 63",49805.6285479106,8368.99008718319,58174.6186350938,TRUE
"Employee 64",43089.5139323547,1625.22228783928,44714.736220194,TRUE
"Employee 65",43362.4109253287,535.670642275363,43898.0815676041,TRUE
"Employee 66",49343.5014388524,4885.7737716753,54229.2752105277,TRUE
"Employee 67",48177.013809327,2330.54815907963,50507.5619684067,TRUE
"Employee 68",46926.1008268222,-2217.75766462088,44708.3431622013,FALSE
"Employee 69",45981.9600940682,657.152065541595,46639.1121596098,TRUE
"Employee 70",44005.8240829967,9924.19004091062,53930.0141239073,TRUE
"Employee 71",41446.5917483903,2171.6865489725,43618.2782973628,TRUE
"Employee 72",41611.0380063765,5796.45228222944,47407.4902886059,TRUE
"Employee 73",43341.004177928,3195.40873868391,46536.4129166119,TRUE
"Employee 74",42100.8181781508,-590.186752378941,41510.6314257719,FALSE
"Employee 75",40657.2431651875,-3926.53861548752,36730.7045497,FALSE
"Employee 76",44193.5610468499,4805.43800746091,48998.9990543108,TRUE
"Employee 77",48874.6667397209,4691.15532236174,53565.8220620826,TRUE
"Employee 78",48392.2534622252,-3286.24543035403,45106.0080318712,FALSE
"Employee 79",45967.804719694,5031.29429765977,50999.0990173537,TRUE
"Employee 80",41024.6512945741,99.1392391733825,41123.7905337475,TRUE
"Employee 81",44638.5915507562,8839.83325446025,53478.4248052165,TRUE
"Employee 82",49689.1064941883,-4135.13080799021,45553.9756861981,FALSE
"Employee 83",40126.9233948551,-83.8307046797127,40043.0926901754,FALSE
"Employee 84",40290.9260801971,-915.710119297728,39375.2159608994,FALSE
"Employee 85",42569.0918345936,-328.479501185939,42240.6123334076,FALSE
"Employee 86",41282.097841613,4828.76928639598,46110.867128009,TRUE
"Employee 87",46939.351845067,2757.87066901103,49697.222514078,TRUE
"Employee 88",41472.7137610316,-4576.08837983571,36896.6253811959,FALSE
"Employee 89",48390.4555812478,3501.21657713316,51891.672158381,TRUE
"Employee 90",41253.3453549258,-4834.85146309249,36418.4938918334,FALSE
"Employee 91",44947.1681192517,5467.26403641514,50414.4321556669,TRUE
"Employee 92",47296.7934445478,7180.12660741806,54476.9200519659,TRUE
"Employee 93",45299.0231639706,6457.4148983229,51756.4380622935,TRUE
"Employee 94",44608.5194358602,7191.89395429567,51800.4133901559,TRUE
"Employee 95",40230.0816238858,-2349.06842699274,37881.013196893,FALSE
"Employee 96",43025.2904305235,4223.45694387332,47248.7473743968,TRUE
"Employee 97",41039.536325261,82.4064598418772,41121.9427851029,TRUE
"Employee 98",42384.0359109454,5147.82299404033,47531.8589049857,TRUE
"Employee 99",41944.7707757354,8751.00052100606,50695.7712967414,TRUE
"Employee 100",43960.1252623834,721.120903035626,44681.246165419,TRUE
